,State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc,Rank,Population,latitude,longitude,distance_100000,distance_300000,distance_500000,distance_1000000,Angle,Angle_Rad,Angle_Deg
24.0,AL,DeKalb County,0.694,21779,3682,625,26086,83.5,14.1,2.4,752.0,71080.0,34.46109285,-85.82489254,55.74195525,74.53156431,126.8259832,605.7110258,-46.0524163943,0.80376629458,46.0524163943
25.0,AL,Elmore County,0.519,27619,8436,850,36905,74.8,22.9,2.3,685.0,80629.0,32.60650078,-86.18647956,46.2155365,126.3564676,126.3564676,634.790788,-58.7348026485,-1.02511569173,-58.7348026485
26.0,AL,Escambia County,0.367,10282,4698,233,15213,67.6,30.9,1.5,1223.0,37994.0,31.131386,-87.3069015,48.24853417,48.24853417,276.0218537,598.5372304,68.4692819397,-1.19501440632,-68.4692819397
27.0,AL,Etowah County,0.501,32132,10350,992,43474,73.9,23.8,2.3,564.0,104392.0,34.03996917,-86.15507,0.0,82.42257371,82.42257371,625.1138948,-59.93381845,1.04604246524,59.93381845
28.0,AL,Fayette County,0.652,6705,1358,133,8196,81.8,16.6,1.6,1984.0,16983.0,33.7203974,-87.776232,58.6936925,85.66742967,85.66742967,586.6302149,49.3074364255,-0.860577111342,-49.3074364255
29.0,AL,Franklin County,0.608,9466,2197,292,11955,79.2,18.4,2.5,1393.0,31761.0,34.41525983,-87.91635033,97.32212716,131.952526,133.2701422,510.2986816,-52.5549699868,0.917257264557,52.5549699868
30.0,AL,Geneva County,0.724,9967,1522,170,11659,85.5,13.1,1.5,1532.0,26931.0,31.11804978,-85.79162644,51.80203968,156.1380891,292.377784,487.4183377,43.6142769257,-0.76121273323,-43.6142769257
31.0,AL,Greene County,-0.652,838,4006,18,4862,17.2,82.4,0.4,2529.0,8876.0,32.7550295,-87.9154365,63.82721757,134.9403804,134.9403804,683.7383976,-130.692563575,-2.28101554225,-130.692563575
32.0,AL,Hale County,-0.2,3172,4772,66,8010,39.6,59.6,0.8,2081.0,15388.0,32.72238667,-87.64093867,57.40469558,120.5708799,120.5708799,695.042958,101.536959033,-1.77215424759,-101.536959033
33.0,AL,Henry County,0.416,5623,2286,108,8017,70.1,28.5,1.3,1964.0,17287.0,31.4573675,-85.25104575,32.16707289,217.3223541,264.3143481,482.8868986,-65.417692956,-1.14175413114,-65.417692956
34.0,AL,Houston County,0.476,30567,10547,916,42030,72.7,25.1,2.1,566.0,103402.0,31.16724713,-85.25142988,0.0,207.2531501,295.4567019,457.3951288,-61.5755200851,1.07469556411,61.5755200851
35.0,AL,Jackson County,0.625,16643,3663,479,20785,80.1,17.6,2.3,938.0,53019.0,34.77580894,-85.9862775,51.10827698,51.10827698,154.3001978,569.353005,51.3178125465,-0.895664793858,-51.3178125465
36.0,AL,Jefferson County,-0.072,130614,151581,7916,290111,45.0,52.2,2.7,93.0,660009.0,33.59211407,-86.86547122,0.0,0.0,0.0,634.2251372,-94.1288687212,1.64285868036,94.1288687212
37.0,AL,Lamar County,0.691,5819,1035,77,6931,84.0,14.9,1.1,2156.0,14259.0,33.79728267,-88.081859,80.8060869,115.0484604,115.0484604,568.9481465,46.2906802505,0.807924783359,46.2906802505
38.0,AL,Lauderdale County,0.461,27735,9877,1201,38813,71.5,25.4,3.1,625.0,92542.0,34.90056057,-87.54953286,78.64358865,93.00049315,158.2292064,476.4917827,-62.5483454815,1.09167457033,62.5483454815
39.0,AL,Lawrence County,0.487,10732,3611,280,14623,73.4,24.7,1.9,1330.0,33838.0,34.5829636,-87.3504684,46.49277785,76.80747219,118.6732843,516.1488549,60.8564097329,1.06214472078,60.8564097329
40.0,AL,Lee County,0.231,34321,20987,2360,57668,59.5,36.4,4.1,428.0,147257.0,32.5977982,-85.3471552,0.0,150.8502803,150.8502803,579.6285529,-76.6440469333,-1.33769097104,-76.6440469333
41.0,AL,Limestone County,0.495,28824,9340,1236,39400,73.2,23.7,3.1,648.0,87654.0,34.815304,-86.97633967,38.86763377,39.78718685,136.0678428,511.6582523,60.3302496626,1.05296149516,60.3302496626
42.0,AL,Lowndes County,-0.469,1751,4882,43,6676,26.2,73.1,0.7,2370.0,10857.0,32.13299625,-86.59071125,38.12481325,163.8496717,163.8496717,621.3744255,117.969403933,2.05895451525,117.969403933
43.0,AL,Macon County,-0.668,1394,7237,117,8748,15.9,82.7,1.3,1812.0,20535.0,32.374418,-85.7630255,45.30893674,169.8688795,169.8688795,588.2809005,-131.912890883,2.30231427174,131.912890883
44.0,AL,Madison County,0.167,89199,62435,7839,159473,55.9,39.2,4.9,192.0,343080.0,34.77314217,-86.54459783,0.0,0.0,134.3040773,538.0088935,80.3865617106,1.40301017621,80.3865617106
45.0,AL,Marengo County,-0.035,5224,5607,117,10948,47.7,51.2,1.0,1821.0,20401.0,32.2831121,-87.7932086,108.0117335,169.1206794,169.1206794,714.0271317,-92.0057619349,-1.60580347657,-92.0057619349
46.0,AL,Marion County,0.762,11273,1432,207,12912,87.3,11.1,1.6,1422.0,30327.0,34.10567567,-87.82450533,97.94533379,105.4631834,105.4631834,545.2583118,-40.3591678764,0.704400362808,40.3591678764
47.0,AL,Marshall County,0.695,29217,4913,835,34965,83.6,14.1,2.4,612.0,94776.0,34.34149638,-86.312964,36.47655972,52.39045439,97.55383921,589.3201223,45.9727827903,0.802376425995,45.9727827903
48.0,AL,Mobile County,0.138,91087,68429,3871,163387,55.7,41.9,2.4,165.0,413936.0,30.67849016,-88.18566842,0.0,0.0,346.2602145,644.6405332,82.0678686485,-1.43235451801,-82.0678686485
49.0,AL,Monroe County,0.144,5771,4310,104,10185,56.7,42.3,1.1,1706.0,22602.0,31.54556767,-87.365542,94.00113111,94.00113111,231.7616748,630.5495401,-81.7206243019,-1.42629396085,-81.7206243019
50.0,AL,Montgomery County,-0.261,33928,58669,1975,94572,35.9,62.0,2.1,279.0,230149.0,32.189773,-86.1920843,0.0,167.80031,167.80031,601.6411873,105.129406873,-1.8348542906,-105.129406873
51.0,AL,Morgan County,0.524,37392,11216,1383,49991,74.8,22.4,2.7,506.0,120395.0,34.478371,-86.86006878,0.0,43.65995831,98.30757095,548.8980985,-58.399051888,1.01925573549,58.399051888
52.0,AL,Perry County,-0.46,1403,3823,29,5255,26.7,72.7,0.5,2426.0,10181.0,32.548815,-87.375108,77.19411425,125.1115455,125.1115455,705.6440001,-117.387107503,2.04879152531,117.387107503
53.0,AL,Pickens County,0.156,5454,3972,68,9494,57.4,41.8,0.7,1860.0,19405.0,33.3013615,-88.065863,50.2207171,116.1762212,116.1762212,621.6947953,-81.0252024306,1.41415655951,81.0252024306
54.0,AL,Pike County,0.203,7681,5039,305,13025,59.0,38.7,2.4,1349.0,33182.0,31.7914115,-85.94809625,49.82867802,180.4119302,217.4351635,552.8840944,78.2875540557,-1.3663755816,-78.2875540557
55.0,AL,Randolph County,0.534,7697,2290,143,10130,76.0,22.6,1.4,1701.0,22675.0,33.33003683,-85.43252217,46.54936063,99.06302197,99.06302197,648.0073803,-57.7238807354,1.00747177586,57.7238807354
56.0,AL,Russell County,-0.019,9210,9577,349,19136,48.1,50.0,1.9,883.0,57820.0,32.26827063,-85.16517225,36.95664876,176.2152053,176.2152053,540.8818048,-91.08868532,1.58979747015,91.08868532
58.0,AL,Shelby County,0.503,72846,22927,3435,99208,73.4,23.1,3.5,313.0,200941.0,33.26011474,-86.67015047,0.0,41.05949763,41.05949763,675.2798981,-59.8013223225,-1.04372997157,-59.8013223225
57.0,AL,St. Clair County,0.686,31579,5550,808,37937,83.2,14.6,2.1,661.0,85237.0,33.67666783,-86.32701567,43.32490819,50.82980512,50.82980512,650.4242833,-46.6856976853,-0.8148191382,-46.6856976853
59.0,AL,Sumter County,-0.495,1581,4739,71,6391,24.7,74.2,1.1,2218.0,13427.0,32.60788825,-88.19834775,93.06422982,165.5134093,165.5134093,692.26006,119.669750337,2.08863115843,119.669750337
60.0,AL,Talladega County,0.255,20596,12108,514,33218,62.0,36.5,1.5,678.0,81762.0,33.35186225,-86.21142075,43.91628657,66.37879341,66.37879341,695.7761525,75.2264148491,-1.31294862359,-75.2264148491
61.0,AL,Tallapoosa County,0.416,12967,5271,266,18504,70.1,28.5,1.5,1148.0,41168.0,32.8761575,-85.76263917,49.69419828,129.8871539,129.8871539,628.5279381,65.417692956,1.14175413114,65.417692956
62.0,AL,Tuscaloosa County,0.195,47701,31746,2261,81708,58.4,38.9,2.8,321.0,198596.0,33.23196757,-87.5332135,0.0,73.84643495,73.84643495,645.3014749,78.7552764076,1.37453887663,78.7552764076
63.0,AL,Walker County,0.675,24208,4486,549,29243,82.8,15.3,1.9,795.0,66221.0,33.78523813,-87.28071813,44.05945786,44.05945786,44.05945786,598.016321,-47.5458497956,-0.829831624592,-47.5458497956
64.0,AL,Washington County,0.431,6031,2366,95,8492,71.0,27.9,1.2,1970.0,17109.0,31.391596,-88.18371386,79.06231715,79.06231715,273.6697517,683.8935557,64.4689605947,1.12519562772,64.4689605947
65.0,AL,Wilcox County,-0.425,1737,4329,29,6095,28.5,71.0,0.5,2333.0,11431.0,32.01485638,-87.30717015,107.0225497,146.0847216,179.744261,660.011127,115.150663413,2.0097582124,115.150663413
66.0,AL,Winston County,0.815,9225,871,159,10255,90.0,8.5,1.6,1637.0,24108.0,34.13798275,-87.40222588,62.57988589,78.31164515,78.31164515,557.8625311,-35.4126381111,0.618067131855,35.4126381111
67.0,AR,Arkansas County,0.304,3825,1939,447,6211,61.6,31.2,7.0,1880.0,18892.0,34.317439,-91.300762,101.4827867,101.4827867,162.8214229,488.9084486,72.3019883674,1.26190775275,72.3019883674
68.0,AR,Ashley County,0.362,5338,2408,337,8083,66.0,29.8,4.1,1752.0,21524.0,33.21785514,-91.68829671,88.45222003,177.1914733,274.4796888,469.1254531,68.776926224,1.20038381201,68.776926224
69.0,AR,Baxter County,0.532,14655,4163,912,19730,74.3,21.1,4.6,1153.0,41048.0,36.3495548,-92.3905477,100.3263691,100.3263691,265.0157567,319.251264,-57.8593133716,1.00983552128,57.8593133716
70.0,AR,Benton County,0.34,60751,27894,7911,96556,62.9,28.9,8.3,278.0,232268.0,36.36254541,-94.28728388,0.0,152.5534694,152.5534694,440.9923214,-70.1231259299,-1.22387942927,-70.1231259299
71.0,AR,Boone County,0.577,12225,2925,948,16098,75.9,18.2,5.9,1238.0,37327.0,36.3114745,-93.05043563,111.1713916,116.2016958,262.2476585,360.8246897,-54.7601859302,-0.955745543486,-54.7601859302
72.0,AR,Bradley County,0.231,2163,1317,172,3652,59.2,36.1,4.7,2336.0,11397.0,33.47459975,-92.19609625,104.9275388,140.1994368,285.9982454,425.5917649,-76.6440469333,1.33769097104,76.6440469333
73.0,AR,Calhoun County,0.405,1554,636,74,2264,68.6,28.1,3.1,2818.0,5307.0,33.60984667,-92.537448,108.8332164,127.1435815,297.4022965,397.2323839,66.1088728592,1.15381749618,66.1088728592
74.0,AR,Carroll County,0.32,6773,3334,629,10736,63.1,31.1,5.9,1508.0,27610.0,36.391863,-93.5954778,62.16244434,138.097112,214.424151,390.223683,-71.3370751151,1.2450668395,71.3370751151
75.0,AR,Chicot County,-0.152,1716,2350,110,4176,41.1,56.3,2.6,2332.0,11433.0,33.30875675,-91.31364425,117.5305226,181.9318874,246.0604427,544.5353517,98.7428473135,-1.72338779841,-98.7428473135
76.0,AR,Clark County,0.093,4398,3606,501,8505,51.7,42.4,5.8,1692.0,22936.0,34.01909686,-93.17615243,81.46273081,114.3422499,246.7694882,353.9070914,-84.6637814119,1.47766174283,84.6637814119
77.0,AR,Clay County,0.297,3779,1999,220,5998,63.0,33.3,3.7,2066.0,15684.0,36.37415573,-90.44106836,144.7243254,144.7243254,144.7243254,251.4996248,72.7224950479,-1.26924697885,-72.7224950479
78.0,AR,Cleburne County,0.609,9454,2101,526,12081,78.3,17.4,4.3,1575.0,25808.0,35.5684027,-92.0130976,50.95189264,95.53026793,201.8983016,376.4846676,52.4827684742,-0.915997110437,-52.4827684742
79.0,AR,Cleveland County,0.518,2460,723,169,3352,73.4,21.6,5.1,2554.0,8627.0,33.88371867,-92.20752433,86.85215226,94.84719889,259.0126625,434.1474955,58.8018091804,1.02628517633,58.8018091804
80.0,AR,Columbia County,0.261,5456,3140,291,8887,61.4,35.3,3.3,1625.0,24473.0,33.23180833,-93.24574183,78.73914233,189.1053588,231.5999631,324.9536335,-74.8705931274,-1.30673836299,-74.8705931274
81.0,AR,Conway County,0.277,4844,2655,422,7921,61.2,33.5,5.4,1768.0,21287.0,35.271394,-92.67666689,32.9337683,69.36270925,257.8739656,433.5584131,-73.9187633698,1.29012579981,73.9187633698
82.0,AR,Craighead County,0.348,22798,10474,2132,35404,64.4,29.6,6.1,590.0,99735.0,35.83956245,-90.59616309,101.2552348,101.2552348,101.2552348,311.919606,-69.6349651234,-1.21535941591,-69.6349651234
83.0,AR,Crawford County,0.543,16655,4476,1272,22403,74.3,20.0,5.7,840.0,61946.0,35.5810266,-94.2622873,45.23700476,164.2481263,164.2481263,382.5507904,57.1119036897,-0.996790761467,-57.1119036897
84.0,AR,Crittenden County,-0.089,6953,8368,573,15894,43.7,52.6,3.5,977.0,50021.0,35.239998,-90.28636911,40.88668347,40.88668347,40.88668347,376.4704312,-95.1060804442,1.65991424242,95.1060804442
85.0,AR,Cross County,0.376,4577,1995,291,6863,66.7,29.1,4.2,1935.0,17683.0,35.31985029,-90.77193343,82.15057732,85.94030163,85.94030163,371.1212803,67.9138675694,-1.18532059685,-67.9138675694
86.0,AR,Dallas County,0.123,1507,1165,97,2769,54.4,42.1,3.5,2600.0,7987.0,33.98148325,-92.65709325,67.45801095,90.52795863,289.205673,397.4867193,-82.9347270693,1.4474840516,82.9347270693
87.0,AR,Desha County,-0.074,1915,2227,110,4252,45.0,52.4,2.6,2271.0,12545.0,33.7584005,-91.33901517,139.0573259,139.0573259,207.500693,550.4656051,-94.2437668548,1.6448640311,94.2437668548
88.0,AR,Drew County,0.243,3967,2364,259,6590,60.2,35.9,4.0,1886.0,18743.0,33.639211,-91.72390125,129.8293832,132.1851161,241.527064,471.9040997,75.9363293049,1.32533896825,75.9363293049
89.0,AR,Faulkner County,0.31,29170,14525,3501,47196,61.8,30.8,7.5,512.0,118704.0,35.18902289,-92.32909067,0.0,50.38358259,226.0828146,426.8236706,71.9407695092,1.25560329435,71.9407695092
90.0,AR,Franklin County,0.541,5034,1376,354,6764,74.4,20.3,5.2,1919.0,18045.0,35.4099605,-93.8641295,48.05580541,162.3856253,204.885089,390.8385463,-57.2482608451,0.999170642787,57.2482608451
91.0,AR,Fulton County,0.503,3470,1067,234,4771,72.7,22.4,5.0,2287.0,12318.0,36.4112946,-91.7628524,112.8167007,112.8167007,221.749509,282.8228772,59.8013223225,-1.04372997157,-59.8013223225
92.0,AR,Garland County,0.338,26053,12283,2398,40734,64.0,30.2,5.9,604.0,96903.0,34.56722057,-93.08703871,43.1370824,76.02821656,277.1005749,387.862299,-70.2449299784,1.22600531096,70.2449299784
93.0,AR,Grant County,0.543,5160,1407,341,6908,74.7,20.4,5.0,1921.0,17986.0,34.2590778,-92.49303,38.31950759,56.34592933,262.27555,422.2940979,57.1119036897,0.996790761467,57.1119036897
94.0,AR,Greene County,0.525,10698,3056,806,14560,73.5,21.0,5.6,1104.0,43163.0,36.131094,-90.60767943,127.6009772,127.6009772,127.6009772,279.9339393,58.3317567465,-1.0180812137,-58.3317567465
95.0,AR,Hempstead County,0.288,4391,2371,269,7031,62.5,33.7,3.8,1716.0,22373.0,33.79259414,-93.69986286,124.5552422,167.2689788,193.5631857,299.6254043,-73.2617432386,-1.27865863526,-73.2617432386
96.0,AR,Hot Spring County,0.422,8153,3137,619,11909,68.5,26.3,5.2,1343.0,33394.0,34.30872583,-93.0208525,48.35140138,82.68007131,270.6920289,379.9481533,65.0390796142,1.13514608173,65.0390796142
97.0,AR,Howard County,0.386,3155,1350,166,4671,67.5,28.9,3.6,2195.0,13735.0,34.0264886,-93.9783848,129.1196039,174.6496722,177.136228,287.0128724,-67.2941644762,1.17450473749,67.2941644762
98.0,AR,Independence County,0.518,9925,2878,795,13598,73.0,21.2,5.7,1245.0,37025.0,35.71740207,-91.5626746,90.9806665,127.0785408,167.4565445,345.5364975,58.8018091804,-1.02628517633,-58.8018091804
99.0,AR,Izard County,0.538,4042,1111,292,5445,74.2,20.4,5.4,2214.0,13474.0,36.104774,-91.99505643,106.0124791,134.2589175,220.8240454,322.6887482,57.4524063097,-1.0027336533,-57.4524063097
100.0,AR,Jackson County,0.326,3262,1583,306,5151,63.3,30.7,5.9,1943.0,17600.0,35.59296722,-91.17113156,114.3498953,129.4074313,129.4074313,348.2504829,-70.9738293098,1.2387270042,70.9738293098
101.0,AR,Jefferson County,-0.252,9231,15721,869,25821,35.7,60.9,3.3,732.0,74723.0,34.32336842,-91.90992342,57.22872645,57.22872645,210.583291,475.0268082,-104.5958935,-1.82554272564,-104.5958935
102.0,AR,Johnson County,0.402,6072,2421,593,9086,66.8,26.6,6.5,1568.0,25901.0,35.48345571,-93.48858814,81.69077786,137.6241232,233.9380361,420.3745878,-66.2967321864,1.15709625997,66.2967321864
103.0,AR,Lafayette County,0.254,1750,1028,68,2846,61.5,36.1,2.4,2647.0,7447.0,33.2973258,-93.54167,76.58723423,197.4536559,203.5852907,298.8724792,75.2856614582,-1.31398267199,-75.2856614582
104.0,AR,Lawrence County,0.493,4064,1263,358,5685,71.5,22.2,6.3,1979.0,17012.0,36.04369629,-91.13686807,143.7306051,152.328424,152.328424,299.1482223,60.4620456716,1.05526176946,60.4620456716
105.0,AR,Lee County,-0.168,1229,1735,56,3020,40.7,57.5,1.8,2424.0,10216.0,34.79731483,-90.80914517,73.28641921,96.73511977,96.73511977,429.0395238,-99.6715551421,1.73959680781,99.6715551421
106.0,AR,Lincoln County,0.315,2455,1252,119,3826,64.2,32.7,3.1,2168.0,14101.0,34.02652025,-91.6850655,96.06950989,96.06950989,210.4981686,484.9027807,71.6391862061,1.25033967275,71.6391862061
107.0,AR,Little River County,0.418,3604,1397,276,5277,68.3,26.5,5.3,2248.0,12919.0,33.73388717,-94.2092805,104.0644981,146.1991444,146.1991444,253.5471574,65.2916166231,-1.13955368402,-65.2916166231
108.0,AR,Logan County,0.509,5737,1712,460,7909,72.5,21.6,5.9,1732.0,21983.0,35.25342867,-93.66002022,58.815467,138.146647,228.9442539,391.4188282,-59.4027568236,-1.03677369133,-59.4027568236
109.0,AR,Lonoke County,0.528,19902,5638,1467,27007,73.7,20.9,5.4,761.0,69839.0,34.77814267,-91.89366267,35.97930297,35.97930297,191.6819222,453.8089845,-58.1295777783,1.01455252503,58.1295777783
110.0,AR,Madison County,0.488,4917,1587,325,6829,72.0,23.2,4.7,2070.0,15645.0,36.0308235,-93.7415015,46.67193671,176.4850009,199.8087375,426.8359009,60.7907880662,1.06099940664,60.7907880662
111.0,AR,Marion County,0.546,5077,1377,324,6778,74.9,20.3,4.8,2006.0,16568.0,36.30647971,-92.66716729,106.2021883,106.2021883,284.8944129,338.3747521,56.9069733479,-0.993214052266,-56.9069733479
112.0,AR,Miller County,0.436,11293,4273,524,16090,70.2,26.6,3.2,1095.0,43634.0,33.3627435,-93.91033175,73.48015433,169.003057,169.003057,266.7396576,-64.151057486,-1.11964717177,-64.151057486
113.0,AR,Mississippi County,0.104,6988,5621,466,13075,53.4,43.0,3.5,1057.0,45562.0,35.71387081,-90.0714135,64.42983026,64.42983026,64.42983026,323.9792213,84.0304446498,-1.46660793105,-84.0304446498
114.0,AR,Monroe County,0.037,1400,1298,80,2778,50.4,46.7,2.9,2612.0,7828.0,34.724257,-91.2125385,98.08284836,98.08284836,133.8686403,443.070112,87.8795721593,1.53378787942,87.8795721593
115.0,AR,Montgomery County,0.529,2573,735,163,3471,74.1,21.2,4.6,2487.0,9340.0,34.57050086,-93.66107114,87.47924692,127.6288945,231.9921247,343.415877,58.0620862727,-1.01337457604,-58.0620862727
116.0,AR,Nevada County,0.261,2001,1156,86,3243,61.7,35.6,2.7,2526.0,8925.0,33.74636067,-93.33751267,114.6149416,146.5994555,225.4700565,329.5210901,74.8705931274,1.30673836299,74.8705931274
117.0,AR,Newton County,0.58,2875,699,179,3753,76.6,18.6,4.7,2595.0,8086.0,35.99256975,-93.111606,103.2493564,150.7888247,256.7491243,390.7809098,54.5494573608,0.952067636123,54.5494573608
118.0,AR,Ouachita County,0.104,5347,4320,262,9929,53.9,43.5,2.6,1593.0,25396.0,33.570667,-92.896381,115.8208666,141.1284589,263.8654787,363.7685252,-84.0304446498,-1.46660793105,-84.0304446498
119.0,AR,Perry County,0.456,2979,1035,248,4262,69.9,24.3,5.8,2410.0,10339.0,35.0077626,-92.7649504,44.5392305,53.33621934,266.6143868,438.5495272,62.8707055354,-1.09730081464,-62.8707055354
120.0,AR,Phillips County,-0.267,2443,4292,197,6932,35.2,61.9,2.8,1790.0,20784.0,34.44049877,-90.84976892,92.29529945,121.804905,121.804905,468.7792326,-105.485827062,1.84107499642,105.485827062
121.0,AR,Pike County,0.619,3150,684,146,3980,79.1,17.2,3.7,2340.0,11247.0,34.13436833,-93.66579333,108.8002648,143.5410073,208.3686876,318.1194088,51.7568541056,-0.903327514616,-51.7568541056
122.0,AR,Poinsett County,0.239,3149,1878,305,5332,59.1,35.2,5.7,1633.0,24307.0,35.56964022,-90.62866822,84.13572045,84.13572045,84.13572045,342.0094884,76.172472921,-1.32946045186,-76.172472921
123.0,AR,Polk County,0.657,6606,1210,399,8215,80.4,14.7,4.8,1817.0,20471.0,34.424573,-94.276157,81.65304361,177.1437326,177.1437326,288.3679527,-48.9285249172,-0.85396385795,-48.9285249172
124.0,AR,Pope County,0.5,15694,4818,1258,21770,72.1,22.1,5.7,832.0,62765.0,35.4491795,-93.0298265,69.95174513,104.3330706,274.8239624,434.0559559,60.0,-1.0471975512,-60.0
125.0,AR,Prairie County,0.492,2503,812,125,3440,72.8,23.6,3.6,2568.0,8458.0,34.752735,-91.522003,69.74252171,69.74252171,159.5786034,446.5205888,60.5278792537,1.05641078223,60.5278792537
126.0,AR,Pulaski County,-0.176,61182,89377,8927,159486,38.4,56.0,5.6,172.0,388953.0,34.73643307,-92.28337171,0.0,0.0,227.4855052,461.6519572,100.136857173,1.74771786026,100.136857173
